ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.563637294112,5160.4772831241535,23894.552314521832
2014-02-28,5778.5383045776,-3656.3304686204865,15485.168586658774
2014-03-31,41875.34314133427,32802.52328255354,51084.844665769524
2014-04-30,25662.72454458294,16541.159902505442,34410.63826812254
2014-05-31,25711.92945566422,16152.503608093279,34772.20344823087
2014-06-30,26711.737995762152,17885.918310769557,36359.35159705173
2014-07-31,26438.133371914355,17618.88260356224,35783.53813791883
2014-08-31,30856.590178417282,20764.73912354675,40079.03357313728
2014-09-30,67621.1171978275,58711.016584965764,77561.1662690815
2014-10-31,36077.38757669492,27141.84108443155,44818.50669535471
2014-11-30,78301.26894798252,68601.78180270507,88031.0045124713
2014-12-31,69991.58474496145,60941.71561500106,79640.8096381954
2015-01-31,18738.34039346834,9830.519274856411,28399.000824687435
2015-02-28,13880.71375284105,4573.2619141951245,22929.347702243238
2015-03-31,49598.625286754745,40334.34682833578,59222.682547620025
2015-04-30,34576.01697887816,25355.760512493114,43141.00331535079
2015-05-31,26387.613872863167,17339.491209443237,35742.44753006528
2015-06-30,31085.925799939105,21858.36545008189,40607.051696260336
2015-07-31,33255.71965370275,24164.445920177368,41818.68547648776
2015-08-31,40664.292447989275,30866.35583725268,48847.84256966035
2015-09-30,76492.06726744714,67644.40233165568,86262.1880755598
2015-10-31,35984.17865948579,27067.65601874312,45506.59248360969
2015-11-30,86921.11813603555,78589.79288985016,96103.17301644234
2015-12-31,75920.60690769985,66519.5880611618,85074.0208207643
2016-01-31,23165.28304647649,13748.007548779155,32799.836425281406
2016-02-29,14902.053835203384,5437.4488142298405,24017.48737155487
2016-03-31,51723.803769110156,41994.58859810017,61536.608893305485
2016-04-30,33016.278395279776,24251.44535033764,42243.82030775497
2016-05-31,49868.21836205125,40406.16941423823,58688.273223541895
2016-06-30,44187.68757692148,34445.35831339781,53896.09379784899
2016-07-31,39287.642774519576,29489.360464484475,48470.4228808884
2016-08-31,37700.29365764595,27544.519749954976,46885.72107872158
2016-09-30,75996.70448634833,66535.46274803796,85387.79896958271
2016-10-31,62955.82764396518,54032.082176030606,71474.97998508575
2016-11-30,88181.71063881312,78750.07039140633,97508.97719150338
2016-12-31,85608.11702130968,76524.00405232335,95064.5340847647
2017-01-31,38211.2354129784,28444.241535676396,47580.27762876582
2017-02-28,25246.65833872001,15228.3196022911,34110.770655371634
2017-03-31,61845.98790768501,52854.90705936842,71491.77308797154
2017-04-30,44535.97391645908,35040.303535810446,53490.44267286666
2017-05-31,53069.81957168151,43614.086128530296,62279.57123830868
2017-06-30,50739.8533852576,41697.72183310737,60282.80055923007
2017-07-31,48243.15004456791,38742.056282160454,57807.6668720726
2017-08-31,49797.13079011855,40445.64052856424,59856.955886571755
2017-09-30,87518.63585300744,78042.0016031398,97099.68529815141
2017-10-31,65271.07080849436,56492.13086202286,74539.95603052236
2017-11-30,99056.32109912366,89537.67680853906,108382.06319577212
2017-12-31,93756.95210653593,84448.71803357189,102766.65701551508
2018-01-31,44491.08036974026,35351.8281165993,53949.455667572154
2018-02-28,35661.18823184961,26178.20315130899,45236.66236370427
2018-03-31,71959.64053192896,62626.55294165318,82007.67146033383
2018-04-30,55942.164641653624,46531.496197061475,65246.70353349539
2018-05-31,56193.01701533072,46846.58975824999,65989.61959031153
2018-06-30,57387.9682588506,48397.243579581074,66010.94250809228
